pid,label
27085,0.002012
30747,0.001013
32932,0.004988
33635,0.032291
33955,0.087362
33978,0.001125
35307,0.007865
35623,0.009994
36023,0.001589
36331,0.000566
37217,0.00642
37479,8.6e-05
37832,0.009254
38303,0.001509
38546,0.001762
38682,0.004294
38683,0.001043
38713,0.020833
38754,0.004269
38755,0.00423
38767,0.001123
38781,0.013978
38791,0.000286
38828,0.000899
38829,0.000781
38904,0.028695
38914,0.003419
38945,0.005519
38948,0.000849
39002,0.003193
39010,0.120421
39011,0.041298
39014,0.000529
39015,0.003598
39038,0.005359
39085,0.001485
39106,0.011288
39110,0.008662
39113,0.041805
39116,0.0294
39147,0.172681
39148,0.010187
39158,0.030484
39205,0.001414
39234,0.000758
39268,0.000359
39272,0.048035
39275,0.003888
39283,0.021115
39296,0.001212
39306,0.000788
39316,0.003843
39327,0.000547
39341,0.007429
39345,0.001981
39346,0.000508
39363,0.000313
39364,0.005527
39366,0.003388
39412,0.000697
39435,0.001112
39475,0.008196
39476,0.002059
39479,0.01068
39482,0.00214
39483,0.003141
39511,0.005595
39513,0.017914
39644,0.001065
39649,0.033487
39651,0.013926
39674,0.022446
39685,0.015331
39718,0.013712
39730,0.017396
39731,0.002129
39734,0.001131
39769,0.022662
39770,0.01493
39778,0.001988
39779,0.015137
39780,0.00028
39798,0.08722
39819,0.001885
39898,0.001477
40004,0.004408
40009,0.00056
40044,0.003099
40055,0.000925
40082,0.00894
40083,0.005091
40100,0.007067
40101,0.000934
40103,0.00056
40142,0.016543
40147,0.003544
40148,0.000257
40150,0.001042
40153,0.035208
40154,0.003876
40178,0.002729
40190,0.019104
40193,0.001648
40194,0.010039
40195,0.048592
40204,0.004014
40221,0.006073
40253,0.001656
40317,0.005749
40350,0.002484
40407,0.079981
40467,0.000898
40472,0.007766
40473,0.002065
40476,0.001951
40490,0.000581
40497,0.008659
40579,0.005054
40580,0.001396
40583,0.067197
40601,0.001178
40634,0.044729
40697,0.000727
40718,0.003974
40722,0.005294
40731,0.051203
40736,0.000338
40776,0.001232
40809,0.000629
40843,0.074398
40845,0.033597
40856,0.0137
40857,0.019809
40869,0.00272
40947,0.002523
40953,0.002035
41007,0.025709
41088,0.098756
41105,4.9e-05
41148,0.001725
41156,0.00066
41174,0.002635
41223,0.003951
41238,0.000359
41246,0.012852
41254,0.007414
41257,0.017819
41264,0.006223
41310,0.105981
41473,0.012143
41474,0.015044
41476,0.03854
41498,0.005352
41514,0.004652
41520,0.002527
41522,0.002165
41524,0.032027
41532,0.00224
41548,0.005351
41558,0.002318
41570,0.004906
41582,0.001715
41634,0.000388
41636,0.004968
41645,0.002355
41663,0.005619
41697,0.008758
41728,0.001205
41742,0.001736
41781,0.000537
41829,0.032031
41854,0.012816
41924,0.000566
41936,0.007459
41943,0.130358
41974,0.01314
41975,0.011611
41998,0.008432
42008,0.015081
42030,0.002434
42031,0.001931
42053,0.011373
42066,0.00267
42124,0.000611
42128,0.001207
42129,0.005188
42142,0.00279
42146,0.00626
42179,0.00681
42192,0.001584
42231,0.000832
42289,0.004092
42314,0.008914
42323,0.000614
42359,0.007108
42360,0.000581
42362,0.166457
42369,0.019772
42378,0.001714
42403,0.004461
42413,0.003555
42424,0.000959
42437,0.004096
42438,0.014037
42443,0.001119
42446,0.063484
42448,0.00607
42499,0.001096
42509,0.011703
42556,0.007012
42613,0.005482
42631,0.003777
42660,0.004758
42665,0.007791
42670,0.00586
42696,0.004674
42721,0.001867
42735,0.001276
42747,0.015889
42749,0.002082
42750,0.001257
42759,0.029184
42793,0.007022
42798,0.003562
42799,0.21425
42806,0.002271
42812,0.003841
42837,0.000598
42876,0.029708
42953,0.007951
42955,0.031958
42956,0.000388
42957,0.002723
42968,0.021385
43014,0.001046
43052,0.001707
43061,0.005483
43065,0.012012
43103,0.001059
43109,0.003344
43122,0.000316
43138,0.069862
43146,0.004155
43149,0.000357
43151,0.000228
43153,0.00564
43158,0.011797
43188,0.002753
43199,0.001496
43201,0.007224
43213,0.000876
43240,0.001842
43248,0.002915
43276,0.019449
43284,0.002477
43315,0.003644
43384,0.003242
43388,0.00541
43396,0.011364
43413,0.003437
43463,0.00106
43501,0.273584
43539,0.02783
43556,0.007439
43559,0.001986
43562,0.004616
43563,0.004592
43569,0.00505
43570,0.000665
43571,0.000735
43575,0.00456
43580,0.005686
43587,0.000827
43593,0.007234
43602,0.01873
43605,0.010943
43612,0.007562
43622,0.002879
43629,0.000407
43652,0.000524
43661,0.022469
43664,0.003485
43715,0.015841
43736,0.015999
43746,0.01486
43771,0.071707
43774,0.011659
43818,0.001001
43822,0.011399
43837,0.007972
43851,0.001729
43871,0.005921
43872,0.024297
43874,0.026637
43986,0.000607
43991,0.002028
44022,0.010883
44024,0.017829
44032,0.002085
44033,0.010392
44043,0.002419
44059,0.00277
44156,0.001327
44195,0.000551
44197,0.000424
44198,0.000135
44202,0.002606
44203,0.000517
44211,0.011332
44212,0.006736
44214,0.004009
44215,6.7e-05
44216,0.045178
44217,0.010163
44218,0.0041
44219,0.006287
44222,0.009817
44288,0.003688
44294,0.002965
44306,0.008695
44310,0.001535
44311,0.066907
44312,0.00531
44314,0.000566
44324,0.074829
44325,0.003533
44326,0.001459
44327,0.005153
44330,0.005676
44332,0.001351
44335,0.00085
44338,0.021414
44344,0.000624
44345,0.000833
44346,0.000629
44347,0.000659
44348,0.002211
44350,0.005991
44412,0.049552
44417,0.016789
44418,0.01808
44419,0.009771
44420,0.04658
44421,0.000533
44423,0.00333
44510,0.005423
44511,0.003666
44513,0.005938
44517,0.00781
44541,0.137707
44542,0.024402
44545,0.090426
44546,0.009937
44613,0.004868
44624,0.021587
44628,0.005164
44658,0.001056
44685,0.000239
44693,0.032106
44694,0.001429
44696,0.006822
44701,0.02834
44703,0.015253
44704,0.00299
44705,0.000715
44706,0.00213
44708,0.00139
44709,0.005677
44710,0.028041
44711,0.01053
44716,0.021168
44717,0.004195
44719,0.015741
44721,0.009312
44722,0.262078
44724,0.007377
44747,0.000276
44748,0.000365
44749,0.049398
44751,0.001056
44754,0.004663
44755,0.003891
44756,0.002368
44757,0.009603
44784,0.002658
44786,0.003858
44791,0.029099
44792,0.001801
44793,0.017023
44794,0.001087
44796,0.066196
44797,0.002846
44798,0.227858
44799,0.440947
44819,0.000485
44827,0.00445
44828,0.000722
44845,0.036402
44846,0.010167
44848,0.002166
44849,0.002334
44859,0.164478
44861,0.043505
44862,0.02704
44864,0.011295
44865,0.453414
44878,0.075824
44913,0.005436
44920,0.000669
44922,0.002695
44937,0.016967
44940,0.003746
44941,0.001262
44943,0.012164
44944,0.000615
44947,0.000836
44948,0.001063
44957,0.001344
45017,0.001997
45021,0.002437
45028,0.044929
45032,0.00285
45034,0.001732
45062,0.000283
45063,0.021908
45066,0.001934
45067,0.007021
45068,0.009981
45080,0.012052
45081,0.014439
45082,0.003725
45084,0.003329
45086,0.006794
45089,0.019548
45090,0.019352
45105,0.004248
45146,0.002834
45147,0.001692
45181,0.005301
45184,0.000756
45187,0.5342
45190,0.961827
45227,0.000508
45232,0.001028
45240,0.003826
45251,0.000235
45252,0.146322
45253,0.006086
45254,0.002186
45256,0.001248
45262,0.019373
45264,0.038488
45266,0.003299
45267,0.00119
45268,0.007268
45272,0.005306
45279,0.000459
45286,0.008141
45289,0.001101
45304,0.007475
45305,0.002467
45309,0.010191
45310,0.011208
45311,0.002096
45312,0.006992
45314,0.019803
45343,0.005049
45345,0.000459
45347,0.001409
45352,0.05805
45354,0.001315
45359,0.000288
45361,0.000869
45389,0.001512
45394,0.369791
45452,0.002381
45455,0.011743
45459,0.001212
45461,0.005316
45463,0.000774
45472,0.008914
45475,0.003852
45476,0.00098
45477,0.001081
45478,0.000315
45479,0.003025
45480,0.001369
45481,0.001515
45482,0.001017
45492,0.001264
45520,0.001605
45524,0.000858
45526,0.001005
45528,0.00181
45530,0.000614
45531,0.00223
45532,0.000711
45533,0.007461
45534,0.001458
45535,0.016062
45538,0.000185
45539,0.001089
45542,0.01092
45562,0.001049
45566,0.002244
45568,0.004833
45571,0.000631
45572,0.18401
45589,0.003665
45619,0.006038
45620,0.014863
45629,0.018094
45642,0.003105
45644,0.000139
45645,0.005994
45646,0.00082
45647,0.013279
45648,0.001542
45692,0.002151
45693,0.45408
45695,0.008053
45696,0.000765
45699,0.007592
45700,0.001654
45705,0.006331
45731,0.107974
45734,0.033298
45736,0.021042
45744,0.001771
45745,0.014998
45746,0.00124
45811,0.001221
45814,0.001196
45815,0.002364
45817,0.001364
45818,0.001482
45823,0.002625
45825,0.013242
45828,0.000748
45830,0.002494
45833,0.01649
45834,0.001323
45835,0.001219
45838,0.00263
45840,0.001742
45841,0.000981
45843,0.000825
45850,0.000339
45853,0.001298
45854,0.00267
45864,0.004734
45896,0.008477
45906,0.001749
45908,0.000606
45909,0.008395
45911,0.076689
45912,0.003126
45914,0.018684
45915,0.009753
45916,0.001611
45925,0.003147
45926,0.01003
45930,0.006565
45934,0.002897
45936,0.001388
45937,0.000631
45951,0.004345
45994,0.003024
46004,0.034543
46006,0.000914
46010,0.00413
46023,0.004543
46050,0.01103
46052,0.002608
46055,0.004264
46089,0.109772
46092,0.006486
46101,0.006675
46136,0.000816
46138,0.008479
46142,0.005774
46146,0.00224
46150,0.191779
46151,0.003484
46153,0.013775
46154,0.002867
46155,0.0026
46158,0.028794
46159,0.001244
46161,0.002974
46163,0.002392
46166,0.001205
46168,0.004677
46170,0.002576
46172,0.005336
46178,0.000899
46179,0.01083
46261,0.030674
46263,0.001108
46265,0.0019
46267,0.00685
46268,0.01223
46269,0.001115
46270,0.06706
46272,0.088399
46273,0.000916
46276,0.029629
46289,0.002438
46292,0.011107
46294,0.009761
46309,0.04228
46316,0.02185
46348,0.007227
46349,0.003464
46351,0.000112
46352,0.017262
46354,0.012738
46356,0.041382
46357,0.005779
46358,0.014941
46362,0.033133
46366,0.000788
46374,0.001664
46376,0.003122
46382,0.002378
46400,0.043602
46403,0.000526
46423,0.066092
46427,0.072975
46431,0.013848
46500,0.000374
46503,0.001987
46504,0.095983
46507,0.000817
46509,0.030575
46552,0.003477
46558,0.003477
46564,0.000237
46567,0.046832
46568,0.003571
46569,0.003433
46572,0.00083
46573,0.00077
46574,0.006901
46582,0.002233
46583,0.002632
46593,0.077305
46595,0.280015
46596,0.001559
46598,0.009844
46599,0.023206
46600,0.093394
46645,0.000982
46648,0.004249
46651,0.007047
46652,0.007375
46654,0.003124
46655,0.004689
46713,0.000632
46714,0.010865
46718,0.023921
46727,0.01277
46769,0.004627
46770,0.0024
46772,0.000596
46787,0.112583
46789,0.000119
46793,0.001116
46810,0.001414
46814,0.001289
46815,0.00108
46816,0.002555
46832,0.0185
46843,0.002523
46844,0.010303
46888,0.000326
46912,0.009493
46913,0.000771
46914,0.003802
46916,0.018458
46918,0.001271
46922,0.003309
46923,0.007318
46973,0.000542
46975,0.003969
46982,0.021133
46985,0.023291
46987,0.007665
46995,0.005098
46998,0.004033
47006,0.005083
47010,0.003451
47011,0.005354
47012,0.330983
47013,0.003888
47026,0.000549
47052,0.090485
47057,0.01543
47058,0.251751
47060,0.005417
47061,0.000913
47099,0.012482
47100,0.122622
47101,0.000529
47102,0.003675
47104,0.13025
47106,0.100654
47176,0.002455
47187,0.005263
47188,0.000759
47189,0.00043
47191,0.016942
47192,0.064601
47194,0.202169
47195,0.00456
47196,0.046266
47198,0.001212
47201,0.003433
47202,0.001068
47204,0.055011
47205,0.000382
47207,0.001503
47210,0.001989
47212,0.002029
47219,0.004474
47220,0.005672
47223,0.00101
47224,0.003065
47228,0.001863
47235,0.00899
47236,0.000399
47237,0.073654
47238,0.000206
47239,0.02722
47242,0.00218
47294,0.016463
47299,0.011237
47324,0.000225
47326,0.02387
47329,0.093022
47330,0.008623
47331,0.001731
47357,0.443338
47402,0.001151
47404,0.000302
47405,0.010335
47407,0.012583
47408,0.002386
47421,0.025268
47422,0.018558
47423,0.001039
47424,0.001691
47425,0.002756
47427,0.001257
47428,0.002513
47430,0.170428
47484,0.002132
47485,0.004035
47491,0.004791
47494,0.00341
47506,0.545431
47507,0.026906
47508,0.004273
47510,0.193566
47514,0.002237
47515,0.012867
47549,0.007015
47550,0.001637
47555,0.00173
47558,0.000458
47566,0.017859
47568,0.000239
47578,0.004768
47580,0.064
47581,0.038029
47585,0.000775
47590,0.002234
47592,0.000424
47593,0.000247
47600,0.000916
47601,0.007809
47609,0.002378
47637,0.0172
47639,0.285863
47640,0.016288
47641,0.106171
47670,0.000135
47671,0.01519
47672,0.146319
47674,0.07847
47675,0.001726
47676,0.008049
47678,0.000939
47679,0.001052
47689,0.02106
47690,0.000398
47751,0.000932
47768,0.000291
47769,0.000392
47771,0.004163
47772,0.00153
47773,0.006363
47774,0.044201
47778,0.000619
47780,0.000352
47781,0.002768
47782,0.010168
47827,0.002674
47843,0.00026
47889,0.008804
47891,0.00441
47892,0.018113
47898,0.025208
47899,0.00562
47901,0.001088
47902,0.090101
47904,0.008255
47905,0.002744
47909,0.112779
47911,0.001094
47913,0.000397
47914,0.005359
47918,0.171995
47970,7.9e-05
47972,0.005191
47974,0.003185
47976,0.001145
47979,0.001
47980,0.014991
47984,0.006308
47996,0.321872
47997,0.163143
47998,0.146312
47999,0.026807
48002,0.002971
48003,0.000736
48004,0.015291
48032,0.009449
48036,0.000371
48044,0.007757
48051,0.002057
48071,0.010988
48075,0.016193
48080,0.018302
48083,0.013526
48087,0.010061
48088,0.002587
48091,0.003743
48097,0.03211
48098,0.005111
48099,0.002147
48114,0.001541
48120,0.026654
48123,0.086234
48125,0.004014
48145,0.019424
48147,0.004895
48150,0.000854
48153,0.000223
48159,0.003047
48164,0.003059
48168,0.002926
48170,0.020389
48171,0.019277
48176,0.001925
48177,0.171886
48178,0.000474
48179,0.001593
48182,0.010746
48183,0.043127
48184,0.073084
48186,0.012743
48187,0.03404
48212,0.046191
48215,0.461573
48217,0.010227
48218,0.06083
48219,0.271297
48260,0.006499
48263,0.00234
48280,0.000546
48285,0.00755
48287,0.002697
48289,0.001598
48295,0.018812
48297,0.00077
48298,0.003457
48318,0.024733
48363,0.00265
48368,0.27533
48369,0.000245
48372,0.043908
48376,0.00315
48377,0.005071
48379,0.002785
48402,0.001289
48427,0.05098
48432,0.03815
48433,0.290816
48434,0.010826
48446,0.001449
48454,0.008549
48475,0.003215
48486,0.005193
48489,0.047586
48492,0.006702
48494,0.003809
48495,0.001873
48510,0.007886
48515,0.097162
48517,0.008171
48524,0.08532
48538,0.001649
48571,0.0004
48575,0.001787
